date,title,summary
"Mon, 16 Ma",Iran War Live Updates: Trump Pressures NATO Allies and China for Warships to Guard Oil Shipments,"Iran has largely closed the Strait of Hormuz to America and its allies, but the president’s earlier call for more naval reinforcements has gained little traction. The U.S. energy secretary, Chris Wright, acknowledged energy prices could remain high."
"Sun, 15 Ma",Pakistani-Afghan War Takes Heavy Toll on Civilians,"Pakistani airstrikes have killed at least 75 civilians and displaced 115,000 in Afghanistan, with both sides vowing escalation and no talks in sight."
"Sun, 15 Ma",Nordic Leaders Praise Carney as They Discuss Arctic Security,Canada’s prime minister got a warm welcome from leaders still smarting about President Trump’s remarks two months ago about taking over Greenland.
"Sun, 15 Ma",A Timeline of the Fraught Relationship Between Iran and the U.S.,"The governments of both countries have repeatedly cast the other as evil, perpetuating a cycle that has culminated in the present war."
"Sun, 15 Ma","In Scolding the New U.S. Ambassador, South Africa Signals Defiance",The latest clash between the two countries illustrates the depths to which relations have sunk and the struggle to forge a new path forward.
"Sun, 15 Ma","Amid War in Iran, Europe’s Flashes of Military Strength Also Show Its Weakness","To defend allies from Iran, the continent’s powers have mounted a rare show of force. But those efforts have diverted limited resources from other hot spots."
"Sun, 15 Ma",Here’s What Happened in the War in the Middle East on Sunday,Five missiles struck the Baghdad International Airport and injured four people. Israeli and Iranian attacks continued as global economic concerns about the war mounted.
"Sun, 15 Ma",The Iran War’s Global Reach,"The fighting is raising energy prices, hitting farmers and reshaping geopolitics. We look at the ripple effects worldwide."
"Sun, 15 Ma","Entering War’s Third Week, Trump Faces Stark Choices","As the conflict with Iran expands and intensifies, President Trump’s options — to fight on, or to move toward declaring victory and pulling back — both carry deeply problematic consequences."
"Sun, 15 Ma","After Trump’s Call to Send Warships to Strait of Hormuz, Nations Respond With Caution","President Trump has urged China, Britain, France, Japan and South Korea to send warships to help reopen the waterway, even though they were not involved in the U.S.-Israeli attack on Iran."
"Sun, 15 Ma",Israel Says Michigan Synagogue Attacker’s Brother Was a Hezbollah Commander,The Israeli military said it killed the brother of Ayman Mohamad Ghazali in an airstrike in Lebanon a week before the attack on the synagogue.
"Sun, 15 Ma",Warning to Americans to leave Iraq is a sign the Iran war is spilling over the border.,
"Sun, 15 Ma",FCC Chair Threatens to Revoke Broadcasters’ Licenses Over Iran War Coverage,The comment from Brendan Carr came on the heels of a social media message from President Trump criticizing the news media’s coverage of the war with Iran.
"Sat, 14 Ma",Here’s What Happened in the U.S.-Israel War With Iran on Saturday,"The U.S. Embassy in Baghdad was attacked overnight. Israeli strikes continued to hit the capitals of Iran and Lebanon, as Iran refused to relinquish control over a vital oil route."
"Sat, 14 Ma","Tehran Seems Largely Empty, as Many Flee and Others Weary of the Fighting","Residents say a heavy, lifeless atmosphere hangs over the streets of Iran’s capital, which has endured relentless attacks throughout the war."
"Sat, 14 Ma","Sandstorm Batters Gaza, Slamming Makeshift Shelters","Millions of Gazans have remained without proper housing since the war, according to the United Nations."
"Sat, 14 Ma",The war has put Middle East water supplies at risk.,
"Sat, 14 Ma",Lebanon’s Displaced Flee Israeli Strikes One Year Into War,"Israeli calls for the evacuation of huge swaths of southern Lebanon have led 830,000 people, about 14 percent of Lebanon’s population, to flee."
"Sat, 14 Ma","Explosion at Jewish School in Amsterdam Is 2nd Antisemitic Attack in 2 Days, Officials Say","No one was hurt in the explosion at a Jewish school in Amsterdam, or in an earlier one at a Rotterdam synagogue."
